"季度","縣市","地區","品項定位","款式","銷售總金額"
"第一季","苗栗縣","一般縣市","中性","針棒",1880.55
"第一季","苗栗縣","一般縣市","特定性別","一般款",2505.825
"第一季","苗栗縣","一般縣市","特定性別","自動扣",837.9
"第一季","苗栗縣","一般縣市","特定性別","針棒",2365.125
"第一季","金門縣","一般縣市","中性","一般款",139.125
"第一季","金門縣","一般縣市","中性","針棒",208.95
"第一季","金門縣","一般縣市","特定性別","一般款",348.075
"第一季","金門縣","一般縣市","特定性別","針棒",139.125
"第一季","雲林縣","一般縣市","中性","一般款",1743.525
"第一季","雲林縣","一般縣市","中性","針棒",1671.6
"第一季","雲林縣","一般縣市","特定性別","一般款",1322.475
"第一季","雲林縣","一般縣市","特定性別","自動扣",1396.5
"第一季","雲林縣","一般縣市","特定性別","針棒",1530.375
"第一季","高雄市","直轄市","中性","一般款",7105.875
"第一季","高雄市","直轄市","中性","自動扣",6049.071
"第一季","高雄市","直轄市","中性","針棒",7731.15
"第一季","高雄市","直轄市","特定性別","一般款",6478.5
"第一季","高雄市","直轄市","特定性別","自動扣",6125.322
"第一季","高雄市","直轄市","特定性別","針棒",9043.125
"第三季","南投縣","一般縣市","中性","一般款",1533
"第三季","南投縣","一般縣市","中性","自動扣",1256.85
"第三季","南投縣","一般縣市","中性","針棒",1044.75
"第三季","南投縣","一般縣市","特定性別","一般款",1113.525
"第三季","南投縣","一般縣市","特定性別","自動扣",1117.2
"第三季","南投縣","一般縣市","特定性別","針棒",1808.625
"第三季","台中市","直轄市","中性","一般款",15677.025
"第三季","台中市","直轄市","中性","自動扣",10054.8
"第三季","台中市","直轄市","中性","針棒",11910.15
"第三季","台中市","直轄市","特定性別","一般款",10725.75
"第三季","台中市","直轄市","特定性別","自動扣",7261.8
"第三季","台中市","直轄市","特定性別","針棒",10851.75
"第三季","台北市","直轄市","中性","一般款",6895.35
"第三季","台北市","直轄市","中性","自動扣",4678.275
"第三季","台北市","直轄市","中性","針棒",5014.8
"第三季","台北市","直轄市","特定性別","一般款",5710.425
"第三季","台北市","直轄市","特定性別","自動扣",3351.6
"第三季","台北市","直轄市","特定性別","針棒",7234.5
"第三季","台南市","直轄市","中性","一般款",8991.15
"第三季","台南市","直轄市","中性","自動扣",4119.675
"第三季","台南市","直轄市","中性","針棒",6477.45
"第三季","台南市","直轄市","特定性別","一般款",3621.45
"第三季","台南市","直轄市","特定性別","自動扣",6423.9
"第三季","台南市","直轄市","特定性別","針棒",5565
"第三季","台東縣","一般縣市","中性","一般款",1185.45
